baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_gene_id
ENSG00000227232	26.1577239056162	-0.676026594698958	0.720026870652093	-0.9388907862379	0.347786820260062	0.582430026761299	ENSG00000227232
ENSG00000279457	44.521212146625	-0.669077578544189	0.768131347074581	-0.871045793264866	0.383729149855086	0.613187554796152	ENSG00000279457
ENSG00000228463	5.53931639114986	0.380675173244346	1.08482084361656	0.350910636981546	0.725655391167979	0.854789079617164	ENSG00000228463
ENSG00000225630	119.554140571744	-3.80843090918813	0.766931889122321	-4.96580069652145	6.84181917634117e-07	0.000338515556537809	ENSG00000225630
ENSG00000237973	82.9917497620923	-3.66184140445295	0.862021668591117	-4.24796909158658	2.1571714672478e-05	0.00233004901159484	ENSG00000237973
ENSG00000229344	9.16733365563395	-4.49252151291532	1.1974332562691	-3.75179283638146	0.000175574518838709	0.00754331084019082	ENSG00000229344
ENSG00000248527	369.278853194373	-2.78433958883931	0.736825712454453	-3.77883065394711	0.000157566529039033	0.00719920129793993	ENSG00000248527
ENSG00000198744	8.01397194105417	-4.90803848770365	1.23472037686442	-3.97502023913109	7.03732712948795e-05	0.00477604086336665	ENSG00000198744
ENSG00000237491	7.56215210590597	-1.5266325995172	1.28987890350002	-1.18354722708834	0.236592341121944	0.471224704733531	ENSG00000237491
ENSG00000228794	102.247593643148	-0.0517549565324471	0.512888487493485	-0.100908789716409	0.919622865542418	0.961104899951595	ENSG00000228794
ENSG00000225880	13.2967773755328	-2.47607961010081	0.95853492898211	-2.58319184333764	0.00978908731130141	0.0727094533562911	ENSG00000225880
ENSG00000272438	5.98697404667679	-1.89164761294879	1.31251874072078	-1.44123474527303	0.149518375490315	0.36413189229306	ENSG00000272438
ENSG00000230699	14.6079966540363	2.77227209962822	1.14991881788419	2.41084157986832	0.015915759961957	0.0983175001634483	ENSG00000230699
ENSG00000223764	25.4750718645974	1.04933316419659	0.915590120784942	1.14607305209561	0.251764926690512	0.489054007798768	ENSG00000223764
ENSG00000187634	258.763559166269	0.559372308230721	1.02016163363939	0.548317335004237	0.583474026486099	0.768044152648091	ENSG00000187634
ENSG00000188976	391.029880237377	-0.496618088871584	0.557387643168494	-0.890974342467545	0.372942935063936	0.604053291730387	ENSG00000188976
ENSG00000187961	17.6034037273102	-0.750638705619114	1.02026222103238	-0.735731158269845	0.461894323638017	0.679054596843203	ENSG00000187961
ENSG00000187583	5.44446552313973	-1.52863837992396	1.53107283945749	-0.99840996491428	0.318080603499247	0.55453087128122	ENSG00000187583
ENSG00000272512	6.76971139569067	-0.219364187943778	1.32867128364577	-0.165100420731499	0.868864941859911	0.934613260274025	ENSG00000272512
ENSG00000188290	49.9173074169385	5.02093353283416	0.945244067038806	5.31178529219801	1.0855645842876e-07	0.000138753246615027	ENSG00000188290
ENSG00000187608	1801.42486923089	1.20986388651286	0.530796622695014	2.27933606730582	0.0226470955900962	0.121523245457961	ENSG00000187608
ENSG00000188157	393.515108594711	0.578522185311499	0.51269324583908	1.12839829665531	0.259151746835034	0.496836998651693	ENSG00000188157
ENSG00000217801	183.739715493933	-2.03537191757454	0.873560544592691	-2.32997235300222	0.0198076123913651	0.112438622819673	ENSG00000217801
ENSG00000273443	5.73359059482385	-1.82723966933122	1.29013006675368	-1.41632205652649	0.15668123288847	0.374551089047231	ENSG00000273443
ENSG00000131591	176.644431567561	-2.11524605737286	0.930139528448214	-2.27411693910246	0.0229589564936183	0.122357357435413	ENSG00000131591
ENSG00000186891	4.86221350989917	-0.0229458555087723	2.28406497466185	-0.010046060757168	NA	NA	ENSG00000186891
ENSG00000078808	294.025678908871	2.19854643601698	0.648805505984284	3.38860631689866	0.000702487896864264	0.0162547375592685	ENSG00000078808
ENSG00000176022	105.178643193268	2.43493664428213	0.581895106819538	4.18449410511587	2.85801863165718e-05	0.00272000357440193	ENSG00000176022
ENSG00000160087	165.682353890334	1.32678145851227	0.553798586769998	2.39578339527852	0.0165848878875932	0.10090401047993	ENSG00000160087
ENSG00000131584	47.1326995702954	1.37955645437739	0.562046174487028	2.45452512088796	0.0141070807567658	0.0917641129792789	ENSG00000131584
ENSG00000169972	687.453618257376	-1.44204699018954	0.689673918123153	-2.09091130213226	0.0365360157674962	0.159111132834144	ENSG00000169972
ENSG00000127054	564.04481838811	-0.705121767052573	0.52259897412807	-1.34925976123285	0.177253545447142	0.400467690017025	ENSG00000127054
ENSG00000224051	184.919601900265	-0.0686560322015382	0.631560676165532	-0.108708529192124	0.913433676634825	0.957965520152133	ENSG00000224051
ENSG00000107404	54.7197771429465	1.54942644356984	0.570198601811744	2.71734521734482	0.00658079279403192	0.0581764840777301	ENSG00000107404
ENSG00000162576	54.5435409071004	1.06466747372153	0.883556396944689	1.20497964521916	0.228211159834219	0.461917381450577	ENSG00000162576
ENSG00000175756	3082.2141272929	-0.0443159609372064	0.5629637468586	-0.0787190315264428	0.937256107484596	0.969402157373453	ENSG00000175756
ENSG00000221978	159.959726430675	0.711088870596569	0.698598489693197	1.01787919826288	0.308735368390209	0.545527906006359	ENSG00000221978
ENSG00000224870	108.145103023947	-3.21248846817911	0.944395471349443	-3.40163476598293	0.00066984092885646	0.0159534474639757	ENSG00000224870
ENSG00000242485	2098.22099006487	-0.819256419195825	0.482322899935201	-1.69856421767635	0.0894013232931966	0.27024783142906	ENSG00000242485
ENSG00000235098	9.34819486089933	0.578506509112939	1.02765252160147	0.562939804021895	0.573475874698693	0.761559284236639	ENSG00000235098
